CENTRO,CIF,GRUPO,U.V.I.,URGENC.,DIRECCIÓN,CPOSTAL,POBLACIÓN,PROVINCIA,COMUNIDAD AUTÓNOMA,TELEFONO,lat,lon
ANALISIS CLINICOS RODRIGUEZ VERGARA,B92401355,C2,,,"Calle San Juan, 17",29631,BENALMÁDENA,MALAGA,ANDALUCÍA,610015633,36.6033,-4.5424
ANDREA REGINA S.L.,B11386372,C2,N,N,"Ruiz Zorrilla, 11 bis 1",11203,ALGECIRAS,CÁDIZ,ANDALUCÍA,956632595,36.1308,-5.4582
ANDRO FISIOTERAPIA AVANZADA,77457076E,C2,N,N,"C/ MOZART 8, 1",29680,ESTEPONA,MALAGA,ANDALUCÍA,615316853,36.42675,-5.14745
"ANESTARI, S.L. ",B11593886,C2,N,S (U68),AV. DE LA ILUSTRACION 6,11011,CADIZ,CADIZ,ANDALUCÍA,956078807,36.5298,-6.2947
ANTONIO MARTINEZ GIMENEZ,23245027P,C2,N,N,AAIUM 21 LOCAL 12,03010,ALICANTE,ALICANTE,C. VALENCIANA,661510707,38.3611,-0.4887
ARACAB FISIOTERÀPIA I OSTEOPATIA,B65934549,C2,N,N,"MIQUEL REVERTER,18",08960,SANT JUST DERVERN,BARCELONA,CATALUÑA,933728598,41.3849,2.0746
ARC MÈDIC REHABILITACIÓ SLP,B62008339,C2,N,N,"Galileu, 325 bajos local  13",08224,TERRASSA,BARCELONA,CATALUÑA,937882295,41.5601,2.0005
ARCOS SALUD S.L.,B11761632,C2,N,N,"Venezuela, s/n",11630,ARCOS DE LA FRONTERA,CÁDIZ,ANDALUCÍA,956717400,36.72711818181818,-5.804036363636364
ARISED REHABILITACION,B85550135,C2,N,N,"Avenida de Santa Eugenia, 25 local",28031,MADRID,MADRID,C. MADRID,913322479,40.377,-3.624
ARTHROSUR CENTRO DE RECUPERACION INTEGRAL ,B4885068,C2,N,N,Avda. Tomás García Figueras s/n,11407,JEREZ DE LA FRONTERA,CADIZ,ANDALUCÍA,956332571,36.6865,-6.1361
ARTROS REHABILITACION. SANTANDER,13725533F,C2,N,N,CALLE GUEVARA 2,39001,SANTANDER,CANTABRIA,CANTABRIA,942210808,43.4647,-3.8088
"ASIDONENSE CENTRO MÉDICO,S.L.",B11313624,C2,N,N,AVDA.EUROPA POLG.INDUST.PRADO DE LA FERIA,11170,MEDINA SIDONIA,CADIZ,ANDALUCÍA,672317687,36.4569,-5.9272
"ASISTENCIA FISIOTERAPIA ALJARAFE, S.L.",B90086661,C2,N,N,"Real, 39",41920,SAN JUAN DE AZNALFRARACHE,SEVILLA,ANDALUCÍA,954760924,37.3581,-6.0373
ASISTENCIA INTEGRAL DEL LESIONADO S.L.,B53750022,C2,N,N,"Avda. Oscar Esplá, nº 23; Entlo A",03007,ALICANTE,ALICANTE,C. VALENCIANA,966141988/966084861,38.3422,-0.5082
ASISTENCIA SANITARIA SISTENS S.L. (POLIclínica ASSISTENS),B15851181,C2,N,N,"Federico García, 4 ",    15009,A CORUÑA,A CORUÑA,GALICIA,981 175030,,
ASISTENCIA Y DIAGNOSTICO INTEGRAL S.L.,B11475423,C2,N,N,"Luis de Ardila, 14",00nan,SAN FERNANDO ,CÁDIZ,ANDALUCÍA,956898971,,
ASPY SALUD GLOBAL SL ,B60081494,C2,N,N,Av Capuchinos 6 bajo izq ,12004,Castellón de la Plana ,Castellón,C. VALENCIANA,964 029 630,40.2108,0.0272
ASSISTENCIAL ANOIA,A60751005,C2,N,N,"Avda Paisos Catalans, 95",08700,IGUALADA ,BARCELONA,CATALUÑA,938046688,41.5833,1.6191
ASSISTENCIAL ANOIA,A60751005,C2,N,N,"Folch i Torres, 60",08784,PIERA,BARCELONA,CATALUÑA,937794790,41.492425,1.754175
AXARCLINIC,53896796E,C2,NO,NO,PASAJE DE MENDOZA Nº1,29740,TORRE DEL MAR,MALAGA,ANDALUCIA,951383307,36.742,-4.0929
BADALONA SERVEIS ASSISTENCIALS - Centre Sociosanitari El Carme,A59551655,B,N,S,"Camí Sant Geroni de la Murtra, n. 60",08917,Badalona,Barcelona,CATALUNYA,935029007,41.4518,2.2302
"BADALONA SERVEIS ASSISTENCIALS, S.A.",A59551655,A,S,S,"Via Augusta, n.9-13",08911,BADALONA,BARCELONA,CATALUÑA,935 029 007,41.4519,2.2517
BALANCE SPORT CLINIC,B91865741,C2,N,N,Plaza Cuba nº 9 ,41011,SEVILLA,SEVILLA,ANDALUCÍA,955194216,37.3744,-6.0008
BALANCE4U WELLNESS ESTUDIO S.L,B91865741,C2,,,PLAZA DE CUBA 9 LOCAL,41011,SEVILLA,SEVILLA,ANDALUCÍA,629265110,37.3744,-6.0008
"BARNES KINE, SLU",B17657164,C2,N,N,"Av. Josep Pla, 14-16",17310,LLORET DE MAR,GIRONA,CATALUÑA,972349371-658979544,41.6999,2.8456
BBT CLINIC,B72292600,C2,,,Avda. constitucion 5A,11160,Barbate,Cádiz,Andalucía,956430129,36.19195,-5.9209499999999995
BORIS HOSPITAL S.L (BORIS INTERNACIONAL CLINIC),B93387090,C,N,S,"AVDA.BARCELONA,EDIF. LOS NARANJOS Nº8 BAJO B",29670,SAN PEDRO DE ALCANTARA,MÁLAGA,ANDALUCÍA,657515438,36.5154,-4.8858
BRUGUES ASISTENCIAL DE CERDANYOLA,A08661795,C2,N,N,"Esglesia, 3",08290,CERDANYOLA,BARCELONA,CATALUÑA,936924499,41.4911,2.1408
BRUGUES ASISTENCIAL SAU,A08661795,C2,N,N,"C/VELÀZQUEZ, 7",08930,SANT ADRIÀ DE BESÓS,BARCELONA,CATALUÑA,934622201,41.4307,2.2186
"BRUGUES ASISTENCIAL,S.A.",A08661795,C2,N,N,"Crta Santa Creu de Calafell, 100-102",08850,GAVÁ,BARCELONA,CATALUÑA,936333670,41.3061,2.0012
BS FISIOCENTER,B86953494,C2,N,N,"Avda de Portugal, 3 posterior",28931,MOSTOLES,MADRID,C. MADRID,911305410,40.3223,-3.865
C.M LA CREUETA SL,B53276234,     C2,N,N,"Avda. Juan Carlos I, 15",03570,VILLAJOYOSA,ALICANTE,C. VALENCIANA,965894827,38.51140357142857,-0.2368035714285714
C.S. LUX REMUBRI,B11936564,C2,NO,NO,AV. BARRERILLO S/N ED.LUX,41930,BORMUJOS,SEVILLA,ANDALUCIA,954020864,37.3715,-6.0723
CAFYR REHABILITACIÓN S.L.,B60995008,C2,N,N,"Libertad, 30 bajos",08860,CASTELLDEFELS ,BARCELONA,CATALUÑA,936362065,41.242325,1.843425
CALLOSA SALUD.S.L.,B42534974,C2,N,N,Rambla Jose Guillo Saez,03360,CELLOSA SEGURA,ALICANTE,C. VALENCIANA,966193696,38.13390476190476,-0.8624
CAPIO HOSPITAL GENERAL DE CATALUNYA S.L.,B83941534,A,S,S,"Pedro i Pons, 1 ",08195,SANT CUGAT DE VALLES,BARCELONA,CATALUÑA,935656001,41.4667,2.0833
CARMASALUD SL CENTRO CLINICO E INVESTIGADOR,B86747938,C2,N,N,"C/ Julian Camarillo, 59",28037,MADRID,MADRID,C. MADRID,911730837,40.4305,-3.6232
CASAJUANA CENTRE DE FISIOTERAPIA,B55755557,C2,N,N,"Lleona, 12",43201,REUS,TARRAGONA,CATALUÑA,977 310 835,41.1557,1.1078
"CEDRON, S.L.",B02066751,C2,N,N,"Cristobal Lozano, 15",02002,ALBACETE,ALBACETE,CASTILLA LA MANCHA,967230899,38.9886,-1.8525
"CELLOSA, S.A.",A78146529,C2,N,N,"Solana,12",28850,TORREJON DE ARDOZ,MADRID,C. MADRID,916753072,40.4554,-3.4697
"CEMAJ ESPECIALIDADES Y EMERGENCIAS, S.L.",B83417907,C2,N,N,"Ctra. Daganzo, 6",28864,AJALVIR,MADRID,C. MADRID,918844089,40.53218,-3.47914
CEMEDIC S.L.,B17350588,C2,N,N,"AV. VILA DE BLANES 44, 1r PIS",17310,LLORET DE MAR ,GIRONA,CATALUÑA,972364511,41.6999,2.8456
CENFIS CENTRO DE FISIOTERAPIA,B13271366,C2,,,c/Hidalgos 22,13004,CIUDAD REAL,CIUDAD REAL,CASTILLA LA MANCHA,926252628 / 926252820,38.9824,-3.9223
CENFIS MEDICINA Y REHABILITACIÓN,B70467501,C2,N,N,"AV.DOCTOR FLEMING, 85 BAJO",15402,FERROL,CORUÑA,GALICIA,981384796,43.4842,-8.2335
CENT. FISOT. REC.FUNC. SANTA EUFEMIA,B47541248,C2,N,N,"Cañada Real, 53",47008,VALLADOLID,VALLADOLID,CASTILLA LEÓN,983245472,41.6182,-4.7505
CENTRE ASSISTENCIAL BAIX LLOBREGAT,B60457611,C2,N,N,"Joaquim Rubió i Ors, 280",08940,CORNELLÀ DE LLOBREGAT,BARCELONA,CATALUÑA,937451440,41.35,2.0833
CENTRE ASSISTENCIAL SANT JOAN S.L.,B60760972,C2,N,N,"C/LES TORRES,1",08970,SANT JOAN DESPI,BARCELONA,CATALUÑA,933734711,41.3667,2.0667
CENTRE COT MANACOR S.L.,B57274656,C2,N,N,"Rambla del Rei en Jaume I,  6-A, 3-A",07500,MANACOR ,MALLORCA,BALEARES,971 55 18 72,39.5688,3.2085
"CENTRE D'ACCIDENTS LABORALS I RHB GRAMENET, SL",B08938649,C1,N,N,"Pg. Llorenç Serra, 27, baixos",08922,SANTA COLOMA DE GRAMENET ,BARCELONA,CATALUÑA,934662252,41.4515,2.2081
CENTRE DE FISIOTERAPIA MANFERD S.A.,A60949807,C2,N,N,"Girona,84",08009,BARCELONA,BARCELONA,CATALUÑA,933233808,41.3953,2.1698
CENTRE DE RECUPERACIÓ FISIOMED SL,B25417262,C2,N,N,"Av. Mil·lenari de Catalunya 49, bajos",25200,CERVERA,LLEIDA,CATALUÑA,973 533 086/606 966 382,41.672,1.2716
"CENTRE DE RECUPERACIÓ FUNCIONAL I FISIOTERAPIA, SA (CORPORACIÓ FISIOGESTIÓN) - Diagonal",A0861808,C2,N,N,"Av. Diagonal, 408",08037,BARCELONA,BARCELONA,CATALUÑA,932070538/935131690,41.3998,2.1651
"CENTRE DE RECUPERACIÓ FUNCIONAL I FISIOTERAPIA, SA (CORPORACIÓ FISIOGESTIÓN) - Sant Gervasi",A0861808,C2,N,N,"C. Copèrnic,  61-63 4a planta",08006,BARCELONA,BARCELONA,CATALUÑA,935131690,41.4008,2.1481
"CENTRE DE RECUPERACIÓ FUNCIONAL I FISIOTERAPIA, SA (CORPORACIÓ FISIOGESTIÓN) - Sant Martí 22@",A0861808,C2,N,N,"C. Ciutat de Granada, 115 Baixos",08018,BARCELONA,BARCELONA,CATALUÑA,935131690,41.4039,2.192
CENTRE DE REHABILITACIÓ I MEDICINA FÍSICA SASTRE-ROCA S.L.,B62129796,C2,N,N,"Carrer Aribau, 298-300 baixos", 08006,BARCELONA,BARCELONA,CATALUÑA,932021366,,
CENTRE DE SALUT INTEGRAL COTXERES,A61738340,B,N,S,AV. Borbo 18-30,08016,BARCELONA,BARCELONA,CATALUÑA,932 438 991 / 932 438 989 ext. 23159,41.4373,2.1795
CENTRE FÒRUM - CONSORCI MAR PARC DE SALUT DE BARCELONA (CAMBIO DE GRUPO),S0800471E,B,N,N,Llull 410,08019,BARCELONA,BARCELONA,CATALUÑA,932 483 411/932 483 087,41.4158,2.2185
CENTRE MÈDIC BERGUEDÀ,Q0802284J ,C2,N,N,PASSEIG DE LA PAU Nº 21,08600,BERGA,BARCELONA,CATALUÑA,938220053,42.1027,1.84595
"CENTRE MÈDIC CASTELLDEFELS, S.A.",B67210831,C2,N,N,"Avda. Constitució, 183",08860,CASTELLDEFELS ,BARCELONA,CATALUÑA,936656011,41.242325,1.843425
POLICLINICO HM COLLBLANC,A08207268,C2,N,N,"Dr. J. Ferran i Clua, 6, 1a planta",08903,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,933332550,41.4301,2.1925
CENTRE MÈDIC CREU GROGA,B08874497,C2,N,N,Sant Jaume 20-34,08370,CALELLA,BARCELONA,CATALUÑA,937662030,41.6168,2.6691
CENTRE MEDIC CUIDA'T,B01873462,C2,NO,NO,"Pi I GIBERT,64",08930,SANT ADRIÁ DE BESOS,BARCELONA,CATALUNYA,678872434,41.4307,2.2186
CENTRE MÈDIC D´AGRAMUNT S.L.,B25457284,C2,N,N,"Angel Guimerá, 3",25310,AGRAMUNT,LLEIDA,CATALUÑA,973392103,41.7845,1.0985
"CENTRE MÉDIC DELFOS, S.A. ",A08207268,A,S,S,"Av. Vallcarca, 151",08023,BARCELONA ,BARCELONA,CATALUÑA,932545000,41.4129,2.1454
CENTRE MEDIC DR. VALLS,B65222408,C2,N,N,Carretera Nova 125 local 1,08530,LA GARRIGA,BARCELONA,CATALUÑA,838605858,41.6829,2.2861
CENTRE MEDIC FENALS S.L.,B55115299,C2,N,N,"AV.VILA DE BLANES,136",17310,LLORET DE MAR,GIRONA,CATALUÑA,972367994,41.6999,2.8456
CENTRE MÈDIC I REHABILITACIÓ CALDES SL,B62102967,C2,N,N,Carrer Lleida 4-6 baixos,08140,CALDES DE MONTBUI,BARCELONA,CATALUÑA,938 655 179,41.62695,2.17815
CENTRE MEDIC LA ROCA,45481331G,C2,N,N,Hermenegild Carrera nº 1,08430,LA ROCA DEL VALLES,BARCELONA,CATALUÑA,654949766,41.5833,2.3333
CENTRE MEDIC LES FRANQUESES,B63751986,C2,N,N,"Llevant, 19",08520,Les Franqueses del Vallès,BARCELONA,CATALUÑA,938467926,41.6473,2.2979
CENTRE MÈDIC LES MORERES. MONTCADA I REIXACH,B60236866,C2,N,N,Països Catalans 10,08110,MONTCADA I REIXAC,BARCELONA,CATALUÑA,935751818,41.47995,2.1980500000000003
"CENTRE MÈDIC MARTORELL, SL",B61594339,C2,N,N,"Av. Francesc Riera, 9",08760,MARTORELL ,BARCELONA,CATALUÑA,937752300,41.4771,1.9221
CENTRE MEDIC MEISA,B60624822,C2,N,N,Plaza Sant Herblain s/n,08840,VILADECANS ,BARCELONA,CATALUÑA,936473011,41.3173,2.0124
CENTRE MÈDIC MOLLET,B60944089,C2,NO,NO,"AVDA. RIVOLI,11",08100,MOLLET DEL VALLES,BARCELONA,CATALUNYA,935708485,41.5403,2.2131
CENTRE MEDIC NOU MONTREIX SCP,J66054735,C2,N,N,"AVDA.UNITAT,2-4",08110,MONTCADA I REIXAC,BARCELONA,CATALUÑA,935750040,41.47995,2.1980500000000003
CENTRE MEDIC SANT ANDREU,B61618070,C2,N,N,"CARRETERA DE BARCELONA, 22-28",08740,SANT ANDREU DE LA BARCA,BARCELONA,CATALUÑA,936821301,41.4466,1.9719
CENTRE MEDICINA CORRECTIVA SL,B08561847,C2,N,N,"Casanovas i Bosch, 48",08202,SABADELL,BARCELONA,CATALUÑA,937257199,41.548,2.1127
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"Av. Mossèn Jacint Verdaguer, 38-42",08130,STA. PERPÈTUA DE MOGODA ,BARCELONA,CATALUÑA,935748190,41.527425,2.18945
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"C/SANTIAGO, 31",08110,MONTCADA I REIXAC,BARCELONA,CATALUÑA,935648428,41.47995,2.1980500000000003
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"Camí del Molí, 18 - 20",08184,PALAU SOLITÀ I PLEGAMANS ,BARCELONA,CATALUÑA,938645492,41.6802,2.1723
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"Federico García Lorca, 7-9",08291,RIPOLLET ,BARCELONA,CATALUÑA,935802019,41.4975,2.1576
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"Plaça Buigas, 2",08290,CERDANYOLA DEL VALLÈS ,BARCELONA,CATALUÑA,936924066,41.4911,2.1408
"CENTRE MEDICINA CORRECTIVA, SL",B08561847,C2,N,N,"Ronda Santa Maria, 213",08210,BARBERÀ DEL VALLÉS,BARCELONA,CATALUÑA,937291466,41.5159,2.1246
"CENTRE MQ REUS, SA",A43544733,B,N,S,"Antoni  Gaudi, 26",43203,REUS,TARRAGONA,CATALUÑA,977 010 800,41.1626,1.1101
CENTRE PERACAMPS - CONSORCI MAR PARC DE SALUT DE BARCELONA,S0800471E,C2,N,S,"Carrer Nou de la Rambla, 57,",08001  ,BARCELONA,BARCELONA,CATALUÑA,932 483 411,,
CENTRE REHABILITACIO BALMES,B64003205,C2,N,N,"BALMES,107",08008,BARCELONA,BARCELONA,CATALUÑA,934523544,41.3937,2.1586
CENTRE REHABILITACIÓ PREVENTIVA LABORAL S.L. (SAIBELA),B64311343,C2,N,N,"GRAN,59",08295,SANT VICENÇ DE CASTELLETR,BARCELONA,CATALUÑA,616652123,41.6667,1.8667
CENTRE SALUD INTEGRAL MINA,A58336595,C2,N,N,"MINA,28",08906,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,93 377 51 34,41.4301,2.1925
CENTRE SALUD INTEGRAL PORTUGAL,A58336595,C2,N,N,"PORTUGAL,40",08210,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,93 377 51 34,41.5159,2.1246
CENTRE SALUD INTEGRAL SEVERO OCHOA,A58336595,C2,N,N,"SEVERO OCHOA,108",08906,L'HOSPITALET DE LLOBREGAT,BARCELONA,CATALUÑA,93 377 51 34,41.4301,2.1925
CENTRE SALUT SESROVIRES,B65599961,C2,NO,NO,"LLUIS COMPANYS,12",08635,SANT ESTEVE SESROVIRES,BARCELONA,CATALUNYA,937713018,41.49395,1.87775
"CENTRE SANITARI DEL SOLSONÈS, F.P.C.",V25247677,C2,N,N,"Plaça Antoni Guitart, 1",25280,SOLSONA ,LLEIDA,CATALUÑA,973484172,41.993925,1.5174249999999998
"CENTRE SOCIO-SANITARI DE BALAGUER, SL. ",B25326257,C1,N,N,"C. Gregorio Gallego, 22",25600,BALAGUER,LLEIDA,CATALUÑA,973451321/674 095 212,41.7896,0.8074
CENTRE SOCIOSANITARI HESTIA PALAU,B64679442,C1,N,N,"Sant Antoni Maria Claret, 135",08025,BARCELONA ,BARCELONA,CATALUÑA,931171074/674 095 212,41.4079,2.1705
CENTRE SOCIOSANITARI MUTUAM GÜELL,V08210676,C1,N,N,"Mare de Déu de la Salut, 49-51",08024,BARCELONA ,BARCELONA,CATALUÑA,932133400,41.4112,2.1588
CENTRE TERAPÈUTIC GRANOLLERS SL,B59779678,C2,N,N,carrer Aragon 58,08401,GRANOLLERS,BARCELONA,CATALUÑA,938 796 617,41.6068,2.2866
CENTRES CRUZ NAVARRO - FERNANDO PESSOA,B60348596,C2,N,N,"C/ FERNANDO PESSOA, 35",08030,BARCELONA,BARCELONA,CATALUÑA,932743107,41.4327,2.2058
CENTRES CRUZ NAVARRO S.L. CASP,B60348596,C2,N,N,"C. CASP,15 5º.PLANTA",08010,BARCELONA,BARCELONA,CATALUÑA,932743107,41.3913,2.1749
"CENTRO  CLINICO Y DE REH. ROCAMAR, S.L.",B18360750,C2,N,N,C/ San Marcos nº 3,18005,GRANADA,GRANADA,ANDALUCÍA,958522137,37.17,-3.6003
CENTRO  MÉDICO RECOLETAS CALZADAS ,B09466145,C1,S,S,"C/ Calzadas, 38",09004,Burgos,Burgos,CASTILLA LEÓN,947257034,42.3436,-3.6933
CENTRO  SANITARIO TRAUMA GRANADA CENTRO  MÉDICO,B19644723,C2,,,"Sevilla, 1,  ",18003,GRANADA,GRANADA,ANDALUCÍA,958 07 86 06,37.1807,-3.6134
CENTRO ACTIVE HEALTH (ACTIVA SALUD),23039943S,C2,N,N,"C/ Turquesa, 9",30310,CARTAGENA,MURCIA,REGIÓN DE MURCIA,968534593,37.6051,-0.9862
CENTRO ASISTENCIAL CECA REHABILITACIÓN S.L.,B35372440,C2,N,N,"Segovia, 79-81",35110,VECINDARIO,LAS PALMAS,CANARIAS,928948744,27.84692631578947,-15.44627894736842
CENTRO ASISTENCIAL ICOT TENERIFE S.L.,B38941555,C2,N,N,"Leoncio Rodríguez, 56",38005,STA. CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,CANARIAS,922106226,28.4682,-16.2546
CENTRO ASISTENCIAL INSTITUTO MEDICALJARAFE (GRUPO MAR MÉDICOS),J90082199,C2,N,N,"Rafael Alberti, 35 (acceso por Avda Los Poetas)",41806,UMBRETE,SEVILLA,ANDALUCÍA,955715063/ 603661142,37.3694,-6.1587
CENTRO ASISTENCIAL MUTUA BALEAR ARRECIFE DE LANZAROTE_35R001,G07046196,C2,N,N,"El Isleño, 13",35550,ARRECIFE ,LANZAROTE,CANARIAS,928810869,29.0411,-13.6285
CENTRO ASISTENCIAL MUTUA BALEAR FELANITX_07R005,G07046196,C2,N,N,"Plaça Arraval, 6",07200,FELANITX ,MALLORCA,BALEARES,971580162,39.4696,3.1487
CENTRO ASISTENCIAL MUTUA BALEAR IBIZA_07R003,G07046196,C2,N,N,"Murcia, 25",07800,IBIZA ,IBIZA,BALEARES,971300203,38.9088,1.43065
CENTRO ASISTENCIAL MUTUA BALEAR INCA_07R002,G07046196,C2,N,N,"Avda. Antonio Maura, 115 ",07300,INCA ,MALLORCA,BALEARES,971501365,39.7204,2.9094
CENTRO ASISTENCIAL MUTUA BALEAR LAS PALMAS DE GRAN CANARIA_35R002,G07046196,C2,N,N,"Luís Doreste Silva, 64",35004,LAS PALMAS ,GRAN CANARIA,CANARIAS,928 29 65 65,28.0997,-15.4134
CENTRO ASISTENCIAL MUTUA BALEAR MENORCA_07R006,G07046196,C2,N,N,"San Sebastián, 60",07701,MAHÓN,MENORCA,BALEARES,971367917,39.8885,4.2658
CENTRO ASISTENCIAL MUTUA BALEAR MANACOR_07R001,G07046196,C2,N,N,"Baleria, s/n - Esquina Ronda Instituto, s/nº",07500,MANACOR ,MALLORCA,BALEARES,971 55 15 82,39.5688,3.2085
CENTRO ASISTENCIAL MUTUA BALEAR POLÍGONO SC_07R004,G07046196,C2,N,N,"Gremi Forners - Esquina Gremi Sabaters,2 (Polígono Son Castelló)",07009,PALMA DE MALLORCA,MALLORCA,BALEARES,971434948,39.5694,2.6502
CENTRO ASISTENCIAL POLIclínica AGUILAS ,B73375933,C2,N,N,CALLE JUAN GRAY S/N,30880,AGUILAS,MURCIA,REGIÓN DE MURCIA,968493717,37.4063,-1.5829
CENTRO AVANZADO PHISIES,B91742619,C2,N,N,"Calderon de la Barca, nº 7",41701,DOS HERMANAS ,SEVILLA,ANDALUCÍA,955096917,37.2832,-5.9264
